dataset_id,context,measurement
G10_D1,Uniform-like process,12.4
G10_D1,Uniform-like process,13.1
G10_D1,Uniform-like process,13.8
G10_D1,Uniform-like process,14.2
G10_D1,Uniform-like process,14.9
G10_D1,Uniform-like process,15.4
G10_D1,Uniform-like process,15.9
G10_D1,Uniform-like process,16.5
G10_D1,Uniform-like process,16.9
G10_D1,Uniform-like process,17.3
G10_D1,Uniform-like process,17.8
G10_D1,Uniform-like process,18.2
G10_D1,Uniform-like process,18.7
G10_D1,Uniform-like process,19.1
G10_D1,Uniform-like process,19.6
G10_D1,Uniform-like process,20.0
G10_D1,Uniform-like process,20.5
G10_D1,Uniform-like process,21.0
G10_D1,Uniform-like process,21.4
G10_D1,Uniform-like process,21.9
G10_D1,Uniform-like process,22.3
G10_D1,Uniform-like process,22.8
G10_D1,Uniform-like process,23.2
G10_D1,Uniform-like process,23.7
G10_D1,Uniform-like process,24.1
G10_D1,Uniform-like process,24.6
G10_D1,Uniform-like process,25.0
G10_D1,Uniform-like process,25.4
G10_D1,Uniform-like process,25.9
G10_D1,Uniform-like process,26.3
