dataset_id,group,success
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_A,1
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_A,1
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_A,1
G11_D2,Method_A,1
G11_D2,Method_A,0
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,0
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,0
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,0
G11_D2,Method_B,1
G11_D2,Method_B,1
G11_D2,Method_B,1
