dataset_id,group,time_minutes
G11_D3,Baseline,34.2
G11_D3,Baseline,35.1
G11_D3,Baseline,33.8
G11_D3,Baseline,36.4
G11_D3,Baseline,34.9
G11_D3,Baseline,37.2
G11_D3,Baseline,35.7
G11_D3,Baseline,36.0
G11_D3,Baseline,34.5
G11_D3,Baseline,35.3
G11_D3,Baseline,36.8
G11_D3,Baseline,34.7
G11_D3,New_Strategy,31.0
G11_D3,New_Strategy,30.4
G11_D3,New_Strategy,32.1
G11_D3,New_Strategy,29.8
G11_D3,New_Strategy,31.5
G11_D3,New_Strategy,30.9
G11_D3,New_Strategy,32.4
G11_D3,New_Strategy,30.1
G11_D3,New_Strategy,31.7
G11_D3,New_Strategy,29.6
G11_D3,New_Strategy,32.0
G11_D3,New_Strategy,30.7
