Grade,Section,Class #,Date,Term,Weekday,Day,Description,Material,Material teacher,Summary
10,A,1-1,2026 / 08 / 12,1,Wednesday,1,-,-,-,-
10,A,1-2,2026 / 08 / 14,1,Friday,3,-,-,-,-
10,A,2-1,2026 / 08 / 21,1,Friday,1,-,-,-,-
10,A,2-2,2026 / 08 / 25,1,Tuesday,3,-,-,-,-
10,A,3-1,2026 / 08 / 31,1,Monday,1,-,-,-,-
10,A,3-2,2026 / 09 / 02,1,Wednesday,3,-,-,-,-
10,A,4-1,2026 / 09 / 08,1,Tuesday,1,-,-,-,-
10,A,4-2,2026 / 09 / 10,1,Thursday,3,-,-,-,-
10,A,5-1,2026 / 09 / 16,1,Wednesday,1,-,-,-,-
10,A,5-2,2026 / 09 / 18,1,Friday,3,-,-,-,-
10,A,6-1,2026 / 09 / 24,1,Thursday,1,-,-,-,-
10,A,6-2,2026 / 09 / 28,1,Monday,3,-,-,-,-
10,A,7-1,2026 / 10 / 02,1,Friday,1,-,-,-,-
10,A,7-2,2026 / 10 / 14,1,Wednesday,3,-,-,-,-
10,A,8-1,2026 / 10 / 20,1,Tuesday,1,-,-,-,-
10,A,8-2,2026 / 10 / 22,1,Thursday,3,-,-,-,-
10,A,9-1,2026 / 10 / 28,1,Wednesday,1,-,-,-,-
10,A,9-2,2026 / 10 / 30,1,Friday,3,-,-,-,-
10,A,1-1,2026 / 11 / 09,2,Monday,1,-,-,-,-
10,A,1-2,2026 / 11 / 11,2,Wednesday,3,-,-,-,-
10,A,2-1,2026 / 11 / 18,2,Wednesday,1,-,-,-,-
10,A,2-2,2026 / 11 / 23,2,Monday,3,-,-,-,-
10,A,3-1,2026 / 11 / 27,2,Friday,1,-,-,-,-
10,A,3-2,2026 / 12 / 01,2,Tuesday,3,-,-,-,-
10,A,4-1,2027 / 01 / 13,2,Wednesday,1,-,-,-,-
10,A,4-2,2027 / 01 / 15,2,Friday,3,-,-,-,-
10,A,5-1,2027 / 01 / 21,2,Thursday,1,-,-,-,-
10,A,5-2,2027 / 01 / 25,2,Monday,3,-,-,-,-
10,A,6-1,2027 / 01 / 29,2,Friday,1,-,-,-,-
10,A,6-2,2027 / 02 / 02,2,Tuesday,3,-,-,-,-
10,A,7-1,2027 / 02 / 08,2,Monday,1,-,-,-,-
10,A,7-2,2027 / 02 / 10,2,Wednesday,3,-,-,-,-
10,A,8-1,2027 / 02 / 16,2,Tuesday,1,-,-,-,-
10,A,8-2,2027 / 02 / 18,2,Thursday,3,-,-,-,-
10,A,9-1,2027 / 02 / 24,2,Wednesday,1,-,-,-,-
10,A,9-2,2027 / 02 / 26,2,Friday,3,-,-,-,-
10,A,10-1,2027 / 03 / 04,2,Thursday,1,-,-,-,-
10,A,10-2,2027 / 03 / 08,2,Monday,3,-,-,-,-
10,A,1-1,2027 / 03 / 15,3,Monday,1,-,-,-,-
10,A,1-2,2027 / 03 / 17,3,Wednesday,3,-,-,-,-
10,A,2-1,2027 / 03 / 30,3,Tuesday,1,-,-,-,-
